ObjectId,mode,season,route_id,route_name,direction_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,stop_id,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,easting,northing
5279,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Central,place-cntsq,29389,143156,77,382,1859,3997,763303.65,2958426.04
5283,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_07,EVENING,Harvard,place-harsq,148541,28143,77,1929,365,3620,759116.13,2961355.2
5284,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Davis,place-davis,16320,47496,77,212,617,1255,758156.45,2969832.48
5286,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Kendall/MIT,place-knncl,74515,60019,77,968,779,5944,768015.16,2957375.19
5287,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_01,VERY_EARLY_MORNING,Alewife,place-alfcl,0,7794,77,0,101,0,752981.59,2969782.02
5297,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_07,EVENING,Kendall/MIT,place-knncl,116815,28006,77,1517,364,5431,768015.16,2957375.19
5299,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Harvard,place-harsq,16938,176222,77,220,2289,1928,759116.13,2961355.2
5301,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Kendall/MIT,place-knncl,13960,342585,77,181,4449,5474,768015.16,2957375.19
5304,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_03,AM_PEAK,Porter,place-portr,11635,32277,77,151,419,1660,759062.42,2966679.98999999
5311,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Alewife,place-alfcl,0,84168,77,0,1093,0,752981.59,2969782.02
5317,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Central,place-cntsq,48849,147544,77,634,1916,5279,763303.65,2958426.04
5318,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Davis,place-davis,8917,88989,77,116,1156,1093,758156.45,2969832.48
5321,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Harvard,place-harsq,36576,216085,77,475,2806,2948,759116.13,2961355.2
5323,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Kendall/MIT,place-knncl,52114,211932,77,677,2752,6561,768015.16,2957375.19
5326,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_04,MIDDAY_BASE,Porter,place-portr,8962,71688,77,116,931,2133,759062.42,2966679.98999999
5333,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Alewife,place-alfcl,0,132451,77,0,1720,0,752981.59,2969782.02
5339,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Central,place-cntsq,47597,107786,77,618,1400,5162,763303.65,2958426.04
5340,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Davis,place-davis,3597,110015,77,47,1429,1720,758156.45,2969832.48
5347,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_08,LATE_EVENING,Alewife,place-alfcl,0,32378,77,0,420,0,752981.59,2969782.02
5348,1,Fall 2019,Red,Red Line,0,day_type_01,weekday,time_period_07,EVENING,Porter,place-portr,52291,8973,77,679,117,2056,759062.42,2966679.98999999
5360,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_05,MIDDAY_SCHOOL,Porter,place-portr,6046,85409,77,79,1109,3102,759062.42,2966679.98999999
5363,1,Fall 2019,Red,Red Line,0,day_type_02,saturday,time_period_10,OFF_PEAK,Central,place-cntsq,44086,25235,12,3674,2103,16281,763303.65,2958426.04
5370,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_08,LATE_EVENING,Central,place-cntsq,15375,29313,77,200,381,1500,763303.65,2958426.04
5371,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_08,LATE_EVENING,Davis,place-davis,1246,44182,77,16,574,420,758156.45,2969832.48
5374,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_08,LATE_EVENING,Harvard,place-harsq,14453,27627,77,188,359,1329,759116.13,2961355.2
5376,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_08,LATE_EVENING,Kendall/MIT,place-knncl,13235,13275,77,172,172,1681,768015.16,2957375.19
5379,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_08,LATE_EVENING,Porter,place-portr,1786,28778,77,23,374,978,759062.42,2966679.98999999
5386,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_09,NIGHT,Alewife,place-alfcl,0,1737,77,0,23,0,752981.59,2969782.02
5392,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_09,NIGHT,Central,place-cntsq,2245,4038,77,29,52,177,763303.65,2958426.04
5393,1,Fall 2019,Red,Red Line,1,day_type_01,weekday,time_period_09,NIGHT,Davis,place-davis,101,7021,77,1,91,23,758156.45,2969832.48
